2theta,intensity
10.12867896,108
10.14894404,97
10.16920913,120
10.18947422,104
10.20973931,147
10.2300044,124
10.25026949,97
10.27053458,96
10.29079967,105
10.31106475,95
10.33132984,90
10.35159493,102
10.37186002,83
10.39212511,91
10.4123902,90
10.43265529,92
10.45292038,92
10.47318546,118
10.49345055,95
10.51371564,91
10.53398073,78
10.55424582,97
10.57451091,102
10.594776,94
10.61504108,98
10.63530617,84
10.65557126,94
10.67583635,85
10.69610144,97
10.71636653,106
10.73663162,110
10.75689671,77
10.77716179,104
10.79742688,100
10.81769197,77
10.83795706,102
10.85822215,90
10.87848724,101
10.89875233,100
10.91901742,93
10.9392825,96
10.95954759,94
10.97981268,84
11.00007777,104
11.02034286,92
11.04060795,110
11.06087304,86
11.08113813,89
11.10140321,91
11.1216683,89
11.14193339,111
11.16219848,97
11.18246357,82
11.20272866,92
11.22299375,91
11.24325883,88
11.26352392,90
11.28378901,76
11.3040541,90
11.32431919,84
11.34458428,96
11.36484937,83
11.38511446,91
11.40537954,96
11.42564463,94
11.44590972,110
11.46617481,74
11.4864399,95
11.50670499,98
11.52697008,91
11.54723517,70
11.56750025,74
11.58776534,85
11.60803043,103
11.62829552,68
11.64856061,89
11.6688257,80
11.68909079,92
11.70935587,94
11.72962096,92
11.74988605,109
11.77015114,93
11.79041623,74
11.81068132,93
11.83094641,91
11.8512115,76
11.87147658,79
11.89174167,88
11.91200676,79
11.93227185,82
11.95253694,94
11.97280203,92
11.99306712,92
12.01333221,82
12.03359729,88
12.05386238,75
12.07412747,100
12.09439256,90
12.11465765,90
12.13492274,91
12.15518783,104
12.17545291,101
12.195718,93
12.21598309,87
12.23624818,79
12.25651327,83
12.27677836,81
12.29704345,90
12.31730854,79
12.33757362,67
12.35783871,86
12.3781038,92
12.39836889,107
12.41863398,98
12.43889907,98
12.45916416,62
12.47942925,86
12.49969433,94
12.51995942,81
12.54022451,83
12.5604896,74
12.58075469,70
12.60101978,78
12.62128487,75
12.64154995,100
12.66181504,72
12.68208013,69
12.70234522,68
12.72261031,94
12.7428754,84
12.76314049,93
12.78340558,95
12.80367066,89
12.82393575,86
12.84420084,80
12.86446593,79
12.88473102,96
12.90499611,90
12.9252612,81
12.94552629,93
12.96579137,84
12.98605646,84
13.00632155,84
13.02658664,99
13.04685173,90
13.06711682,83
13.08738191,92
13.107647,72
13.12791208,86
13.14817717,88
13.16844226,87
13.18870735,72
13.20897244,72
13.22923753,80
13.24950262,74
13.2697677,90
13.29003279,69
13.31029788,66
13.33056297,76
13.35082806,85
13.37109315,78
13.39135824,80
13.41162333,89
13.43188841,91
13.4521535,83
13.47241859,94
13.49268368,77
13.51294877,77
13.53321386,60
13.55347895,70
13.57374404,82
13.59400912,88
13.61427421,76
13.6345393,99
13.65480439,64
13.67506948,80
