2theta,Intensity 
29.258923,58
29.279188,50
29.299453,41
29.319718,47
29.339983,47
29.360248,48
29.380513,48
29.400778,65
29.421043,57
29.441308,53
29.461574,55
29.481839,54
29.502104,45
29.522369,52
29.542634,46
29.562899,53
29.583164,52
29.603429,52
29.623694,38
29.643959,64
29.664224,42
29.68449,54
29.704755,53
29.72502,56
29.745285,40
29.76555,39
29.785815,55
29.80608,62
29.826345,66
29.84661,61
29.866875,61
29.88714,63
29.907406,73
29.927671,94
29.947936,105
29.968201,101
29.988466,104
30.008731,96
30.028996,104
30.049261,74
30.069526,72
30.089791,71
30.110056,65
30.130322,61
30.150587,78
30.170852,58
30.191117,70
30.211382,55
30.231647,43
30.251912,51
30.272177,52
30.292442,54
30.312707,55
30.332972,55
30.353237,62
30.373503,57
30.393768,44
30.414033,48
30.434298,56
30.454563,58
30.474828,58
30.495093,50
30.515358,36
30.535623,52
30.555888,40
30.576153,59
30.596419,50
30.616684,56
30.636949,39
30.657214,38
30.677479,47
30.697744,42
30.718009,41
30.738274,69
30.758539,66
30.778804,46
30.799069,58
30.819335,47
30.8396,55
30.859865,57
30.88013,45
30.900395,51
30.92066,71
30.940925,50
30.96119,56
30.981455,41
31.00172,56
31.021985,49
31.04225,59
31.062516,51
31.082781,45
31.103046,69
31.123311,42
31.143576,45
31.163841,61
31.184106,61
31.204371,53
31.224636,59
31.244901,59
31.265166,50
31.285432,66
31.305697,64
31.325962,63
31.346227,70
31.366492,64
31.386757,52
31.407022,65
31.427287,63
31.447552,53
31.467817,65
31.488082,59
31.508348,60
31.528613,60
31.548878,51
31.569143,67
31.589408,74
31.609673,67
31.629938,68
31.650203,58
31.670468,84
31.690733,73
31.710998,65
31.731264,71
31.751529,60
31.771794,62
31.792059,82
31.812324,67
31.832589,81
31.852854,79
31.873119,79
31.893384,76
31.913649,66
31.933914,63
31.954179,79
31.974445,65
31.99471,67
32.014975,107
32.03524,102
32.055505,85
32.07577,83
32.096035,88
32.1163,100
32.136565,116
32.15683,124
32.177095,107
32.197361,120
32.217626,113
32.237891,123
32.258156,121
32.278421,113
32.298686,128
32.318951,101
32.339216,100
32.359481,104
32.379746,108
32.400011,97
32.420277,105
32.440542,113
32.460807,109
32.481072,107
32.501337,107
32.521602,110
32.541867,109
32.562132,118
32.582397,128
32.602662,122
32.622927,128
32.643193,134
32.663458,133
32.683723,157
32.703988,172
32.724253,182
32.744518,151
32.764783,159
32.785048,194
32.805313,198
32.825578,223
32.845843,251
32.866108,252
32.886374,278
32.906639,317
32.926904,318
32.947169,358
32.967434,376
32.987699,425
33.007964,471
33.028229,557
33.048494,604
33.068759,732
33.089024,801
33.10929,983
33.129555,1070
33.14982,1384
33.170085,1591
33.19035,2119
33.210615,2640
33.23088,3200
33.251145,3652
33.27141,4129
33.291675,4137
33.31194,3858
33.332206,3655
33.352471,3283
33.372736,2838
33.393001,2290
33.413266,1912
33.433531,1497
33.453796,1217
33.474061,1027
33.494326,856
33.514591,776
33.534856,630
33.555121,537
33.575387,434
33.595652,413
33.615917,423
33.636182,366
33.656447,331
33.676712,279
33.696977,246
33.717242,251
33.737507,202
33.757772,207
33.778037,178
33.798303,171
33.818568,182
33.838833,165
33.859098,152
33.879363,145
33.899628,127
33.919893,131
33.940158,125
33.960423,120
33.980688,109
34.000953,115
34.021219,124
34.041484,122
34.061749,128
34.082014,114
34.102279,97
34.122544,117
34.142809,109
34.163074,112
34.183339,108
34.203604,111
34.223869,91
34.244135,94
34.2644,100
34.284665,100
34.30493,100
34.325195,104
34.34546,118
34.365725,90
